bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.35,"(-0.4, -0.3]",251,-0.0731435031055,0.0148618612389,0.000939946635689,-0.0738143920898,0.0106905441284,0.00084571276992
-0.25,"(-0.3, -0.2]",627,-0.0598131328869,0.022049635048,0.000881280659176,-0.0596218109131,0.013285446167,0.000664970397233
-0.15,"(-0.2, -0.1]",1460,-0.0392115187972,0.0528029280092,0.00138238928722,-0.0402412414551,0.0122353305817,0.000401327776088
-0.05,"(-0.1, -1]",2745,-0.0202663046415,0.0641400645856,0.00122443952268,-0.0237579345703,0.0173403339386,0.000414807137835
0.05,"(-1, 0.1]",46874,-0.00217023092961,0.0205854152655,9.50819887968e-05,-0.0019998550415,0.00986197042465,5.70896823334e-05
0.15,"(0.1, 0.2]",201712,0.0102235671501,0.0123476324622,2.74927955614e-05,0.0104141235352,0.00884330177307,2.46779179599e-05
0.25,"(0.2, 0.3]",122183,0.0260778510422,0.0123774773387,3.54102118439e-05,0.0260772705078,0.00886379528046,3.1781490667e-05
0.35,"(0.3, 0.4]",62338,0.0431422576848,0.0124472201005,4.98539323715e-05,0.0431041717529,0.00887863540649,4.45686755814e-05
0.45,"(0.4, 0.5]",41333,0.0599917583767,0.011138866571,5.47895572993e-05,0.0599594116211,0.00875284767151,5.39586213503e-05
0.55,"(0.5, 0.6]",31879,0.0760948186298,0.0097204568297,5.44428864672e-05,0.0760269165039,0.00857476615906,6.01907672032e-05
0.65,"(0.6, 0.7]",25972,0.0918153002434,0.00964760929226,5.98653286474e-05,0.0916557312012,0.00862599992752,6.70836511082e-05
0.75,"(0.7, 0.8]",22303,0.106897434258,0.00939269258803,6.28953014334e-05,0.106691360474,0.00852388572693,7.15345608153e-05
0.85,"(0.8, 0.9]",20104,0.12147060581,0.00980408263735,6.91475069885e-05,0.121217727661,0.00848325204849,7.49861526073e-05
0.95,"(0.9, 1]",18374,0.135801358595,0.00951438126691,7.0192468095e-05,0.135646820068,0.0086691069603,8.01553369027e-05
1.05,"(1, 1.1]",17475,0.150020655467,0.00994919559544,7.52647811646e-05,0.149736404419,0.00884683513641,8.38763031039e-05
1.15,"(1.1, 1.2]",15818,0.164274167707,0.0111986229607,8.90435703834e-05,0.16405582428,0.00912526416779,9.0934691681e-05
1.25,"(1.2, 1.3]",13360,0.178288545723,0.0125344426386,0.000108447127298,0.17799282074,0.00922384500504,0.000100015821399
1.35,"(1.3, 1.4]",9347,0.192491280174,0.0104192626719,0.000107776505594,0.192331314087,0.00944892024994,0.000122491513465
1.45,"(1.4, 1.5]",5184,0.207575690599,0.0112348288342,0.000156054341627,0.207033157349,0.0100326318741,0.000174639435587
1.55,"(1.5, 1.6]",2113,0.223447986536,0.0120419374073,0.000262029029628,0.223087310791,0.0108672122955,0.000296297741589
1.65,"(1.6, 1.7]",846,0.238996113446,0.0113789751422,0.000391448645111,0.238347053528,0.0109467129707,0.00047169197523
1.75,"(1.7, 1.8]",331,0.254107823905,0.0113105597566,0.000622625822764,0.253639221191,0.0104135284424,0.000717371054522
1.85,"(1.8, 1.9]",115,0.269278318986,0.0123046276152,0.00115243396411,0.269584655762,0.0112954559326,0.00132012417408
1.95,"(1.9, 2]",61,0.282986218812,0.0135536838179,0.00174977305689,0.282506942749,0.0128727493286,0.00206569564216
