bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.85,"(-0.9, -0.8]",97,-0.0767517954416,0.0119207945772,0.00121666100177,-0.07635106604,0.00914012690735,0.00116312475014
-0.75,"(-0.8, -0.7]",104,-0.0748485060108,0.0436241949524,0.00429841965229,-0.0713447194824,0.0109648281232,0.00134755064806
-0.65,"(-0.7, -0.6]",162,-0.064117105104,0.0167328042847,0.00131872971824,-0.0660187525024,0.0107120710965,0.00105481398146
-0.55,"(-0.6, -0.5]",170,-0.0599179404448,0.0121533007647,0.000934869289589,-0.0607260249023,0.00905363693417,0.000870279096923
-0.45,"(-0.5, -0.4]",227,-0.0518890909682,0.0103910460553,0.000691202101907,-0.052286529541,0.00988752047461,0.000822497157523
-0.35,"(-0.4, -0.3]",417,-0.044176362127,0.0105581341248,0.000517655114707,-0.0438119049072,0.00894196983069,0.000548813911287
-0.25,"(-0.3, -0.2]",446,-0.0382527028217,0.0404442468651,0.00191724117365,-0.0380476760864,0.00954213582477,0.000566288970793
-0.15,"(-0.2, -0.1]",517,-0.0293074593586,0.0594177121016,0.00261571892358,-0.031978729248,0.00986794322205,0.000543927866261
-0.05,"(-0.1, -1]",651,-0.0180264364829,0.104516789584,0.00409948576605,-0.0248125223389,0.0162721557999,0.000799308696329
0.05,"(-1, 0.1]",803,-0.00992542240934,0.0840006433158,0.00296616583277,-0.0197825845947,0.0305308598328,0.001350333995
0.15,"(0.1, 0.2]",1257,-0.00695175257882,0.0867730602563,0.0024484435434,-0.014171585083,0.0269502011162,0.000952695930564
0.25,"(0.2, 0.3]",2553,-0.00537191266474,0.0593408777542,0.0011746639239,-0.00855057470703,0.0133589340641,0.000331364773163
0.35,"(0.3, 0.4]",15496,-0.00263406329701,0.0232990451172,0.000187172625399,-0.00294109344482,0.00848611679773,8.54395868247e-05
0.45,"(0.4, 0.5]",31143,0.00166804948256,0.0167006589182,9.46368674145e-05,0.00160061645508,0.0077760364519,5.52252897819e-05
0.55,"(0.5, 0.6]",53115,0.00601774647596,0.0129056209773,5.59982431062e-05,0.00605161230469,0.00733391114044,3.98829238452e-05
0.65,"(0.6, 0.7]",55597,0.0107317946809,0.0124177433862,5.26648568125e-05,0.0106980509033,0.00721509402466,3.83509613242e-05
0.75,"(0.7, 0.8]",51675,0.0152884604825,0.0116183616386,5.11103494097e-05,0.0153593902588,0.00743396165332,4.09864224839e-05
0.85,"(0.8, 0.9]",43853,0.0197377318487,0.0131784843513,6.29318882054e-05,0.0198211364746,0.00754168380469,4.51365752833e-05
0.95,"(0.9, 1]",35545,0.0242433072119,0.010853376399,5.75680759516e-05,0.0242999959717,0.00774801567078,5.15063968453e-05
1.05,"(1, 1.1]",29559,0.0286777243564,0.0113394703356,6.59561423761e-05,0.0286116708984,0.00778765718079,5.67703922586e-05
1.15,"(1.1, 1.2]",25948,0.0331461977037,0.0114111803365,7.08413767637e-05,0.0330268554687,0.00804904450113,6.26256609433e-05
1.25,"(1.2, 1.3]",23479,0.0378701739606,0.011410784259,7.44706158256e-05,0.0377177652588,0.00806885636902,6.59982052313e-05
1.35,"(1.3, 1.4]",22518,0.0428890788316,0.0120219182396,8.01158613203e-05,0.0426430288086,0.00818766823847,6.8384120853e-05
1.45,"(1.4, 1.5]",22054,0.0483656306943,0.0122035740222,8.21775522212e-05,0.0481252441406,0.00821357858972,6.93184224288e-05
1.55,"(1.5, 1.6]",21828,0.0543950111403,0.0115336474406,7.806738777e-05,0.0540844990845,0.00831680842859,7.05520543105e-05
1.65,"(1.6, 1.7]",23010,0.0609886505088,0.011842201854,7.8069893595e-05,0.0606328353882,0.00841517574893,6.95288137326e-05
1.75,"(1.7, 1.8]",24425,0.0682899489507,0.011786345517,7.54172639487e-05,0.0679286804199,0.00853482461279,6.84442948137e-05
1.85,"(1.8, 1.9]",26491,0.0761515095606,0.0118943143058,7.30799819385e-05,0.0758708577881,0.00868090577069,6.6846058436e-05
1.95,"(1.9, 2]",28877,0.0853599285327,0.0131124083098,7.71638605994e-05,0.0849476013184,0.00900237055701,6.63958274405e-05
2.05,"(2, 2.1]",32026,0.0953828666597,0.0115852766935,6.47383820687e-05,0.0949588887329,0.00940397041836,6.58597144163e-05
2.15,"(2.1, 2.2]",35341,0.106349012437,0.0119792759494,6.37231589073e-05,0.106016540527,0.00965820195996,6.4389759662e-05
2.25,"(2.2, 2.3]",38589,0.118354710001,0.012187114779,6.20404253153e-05,0.118061440063,0.00997107220459,6.36165389252e-05
2.35,"(2.3, 2.4]",42280,0.130887183618,0.012513216754,6.08564499341e-05,0.130536780762,0.010309127449,6.28368430716e-05
2.45,"(2.4, 2.5]",46454,0.14363397322,0.0121659390125,5.64467252873e-05,0.143331515991,0.0104560688254,6.08018528489e-05
2.55,"(2.5, 2.6]",50225,0.156292699764,0.0125785750352,5.61275125476e-05,0.156154197144,0.0106411335754,5.95097136631e-05
2.65,"(2.6, 2.7]",52166,0.168756773847,0.012421972435,5.438773281e-05,0.168539425171,0.0108853313828,5.97321056844e-05
2.75,"(2.7, 2.8]",50854,0.180884590712,0.0122309435911,5.42377511203e-05,0.180765308655,0.0108420284942,6.02570579578e-05
2.85,"(2.8, 2.9]",43582,0.192542100513,0.0127304852473,6.09812556157e-05,0.192468391418,0.011034272541,6.62445366799e-05
2.95,"(2.9, 3]",32775,0.203746737558,0.0137623699506,7.60201116982e-05,0.203666503906,0.0112118420154,7.76185558084e-05
