bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.85,"(-0.9, -0.8]",43,-0.0954189300537,0.0219373748953,0.00338501043572,-0.0967197418213,0.0143892688751,0.00275020101828
-0.75,"(-0.8, -0.7]",46,-0.0816225383593,0.0194112490441,0.00289365815938,-0.0868530273438,0.013700969696,0.00253181709792
-0.65,"(-0.7, -0.6]",61,-0.0783942488373,0.0193270703495,0.00249511405316,-0.0818271636963,0.0158775215149,0.0025478727321
-0.55,"(-0.6, -0.5]",77,-0.0452035309432,0.213392401575,0.0244777872048,-0.0719375610352,0.0151991157532,0.00217086540836
-0.45,"(-0.5, -0.4]",96,-0.0678680638472,0.0182259504492,0.0018699430607,-0.0668964385986,0.0202610120773,0.00259170434859
-0.35,"(-0.4, -0.3]",241,-0.0601818670376,0.0583374554713,0.00376566655834,-0.0585403442383,0.0154775447845,0.00124954956182
-0.25,"(-0.3, -0.2]",262,-0.0499762760774,0.0662073984271,0.00409813508025,-0.0507431030273,0.016429432869,0.00127213108544
-0.15,"(-0.2, -0.1]",349,-0.0514242833528,0.103958875474,0.00557278067515,-0.0464096069336,0.0179508991241,0.00120429652008
-0.05,"(-0.1, -1]",468,-0.0421739561945,0.155139953339,0.00717902087559,-0.0398902893066,0.0351997189522,0.00203927693815
0.05,"(-1, 0.1]",583,-0.0313564647328,0.152444248658,0.00631901740872,-0.0345458984375,0.0529891433716,0.00275050576687
0.15,"(0.1, 0.2]",950,-0.0235602449116,0.150316813795,0.00487949025967,-0.0271043777466,0.0529827833176,0.00215443256518
0.25,"(0.2, 0.3]",1848,-0.0238515830143,0.124793916621,0.00290375497855,-0.0216979980469,0.0305558195114,0.0008908465268
0.35,"(0.3, 0.4]",10800,-0.015016414766,0.0544479895701,0.000523950281438,-0.0148391723633,0.016596560955,0.00020015487214
0.45,"(0.4, 0.5]",22427,-0.0112440540696,0.0326261383923,0.000217866153129,-0.0110111236572,0.0157884807587,0.000132134032519
0.55,"(0.5, 0.6]",37832,-0.00709401429342,0.0229971791102,0.000118236252696,-0.00764846801758,0.0147090382576,9.47795332309e-05
0.65,"(0.6, 0.7]",39418,-0.00227445396963,0.0211303507892,0.000106430211023,-0.00274467468262,0.0147104516029,9.28621322484e-05
0.75,"(0.7, 0.8]",36225,0.00321325464031,0.0216608057636,0.000113808947072,0.00260925292969,0.0150634346008,9.91927082005e-05
0.85,"(0.8, 0.9]",30339,0.00803263942845,0.0205900242092,0.00011821249502,0.00754928588867,0.0149673271179,0.00010769698815
0.95,"(0.9, 1]",24311,0.0127429807207,0.0211692342171,0.00013577276691,0.0121841430664,0.0150372877121,0.000120872647907
1.05,"(1, 1.1]",19714,0.0174906782801,0.0213685797645,0.000152194618848,0.0168581008911,0.0151351618767,0.000135101332563
1.15,"(1.1, 1.2]",16404,0.0224709323603,0.0186372697292,0.000145519317162,0.0217161178589,0.0153503437042,0.000150211492839
1.25,"(1.2, 1.3]",13683,0.0272690479513,0.0191541290651,0.00016375237835,0.0267524719238,0.0155997991562,0.000167143034276
1.35,"(1.3, 1.4]",11840,0.0324699504955,0.0191633506638,0.000176122132951,0.0318937301636,0.0150383477211,0.000173214486153
1.45,"(1.4, 1.5]",10257,0.0384493094503,0.0190030932358,0.000187644263931,0.0374736785889,0.015257062912,0.000188808132993
1.55,"(1.5, 1.6]",8996,0.0442746753107,0.0185774327144,0.0001958777529,0.0434789657593,0.0147510852814,0.000194921250531
1.65,"(1.6, 1.7]",8210,0.0513898826255,0.0187003762212,0.000206397872366,0.0504713058472,0.0152146625519,0.000210450850145
1.75,"(1.7, 1.8]",7628,0.0590197911235,0.0192704401371,0.000220655501951,0.0579566955566,0.0154015774727,0.000221014008355
1.85,"(1.8, 1.9]",7211,0.0672806488659,0.0197781673979,0.0002329262399,0.0660362243652,0.0150387010574,0.00022195887614
1.95,"(1.9, 2]",6859,0.0768289862195,0.0191780317048,0.000231582262131,0.0756511688232,0.0158075609207,0.000239218300853
2.05,"(2, 2.1]",6716,0.0874330837007,0.0197646291669,0.000241193534507,0.0862588882446,0.0160640830994,0.00024567475796
2.15,"(2.1, 2.2]",6512,0.0985966660174,0.0189589393681,0.000234957974709,0.0973720550537,0.0164149460793,0.000254942478165
2.25,"(2.2, 2.3]",6030,0.111478763156,0.0204552417578,0.000263440155954,0.110263824463,0.0165813674927,0.000267621886097
