bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.85,"(-0.9, -0.8]",67,-0.0708067168051,0.0161783443112,0.00199141652285,-0.0725936889648,0.0139574918747,0.00213712498112
-0.75,"(-0.8, -0.7]",74,-0.0674193485363,0.019628773444,0.00229737416194,-0.0675811767578,0.0137536168098,0.00200383057509
-0.65,"(-0.7, -0.6]",122,-0.0579471275455,0.0180724236911,0.00164294760828,-0.0589227676392,0.016855556488,0.00191259545124
-0.55,"(-0.6, -0.5]",158,-0.0369114272202,0.161293307069,0.0128726072924,-0.0505752563477,0.0158633880615,0.00158171175932
-0.45,"(-0.5, -0.4]",200,-0.0459514141083,0.0197915277078,0.00140298420105,-0.0469188690186,0.0185861978531,0.00164715889792
-0.35,"(-0.4, -0.3]",353,-0.0386022454281,0.0600892217536,0.00320276628078,-0.0362186431885,0.0161700839996,0.00107866071461
-0.25,"(-0.3, -0.2]",393,-0.0204419774257,0.072846383403,0.0036792979778,-0.0245170593262,0.0173516407013,0.0010969938922
-0.15,"(-0.2, -0.1]",546,-0.0235917175209,0.12097472142,0.00518198772083,-0.0204925537109,0.0215248961449,0.00115452856315
-0.05,"(-0.1, -1]",743,-0.0162412635731,0.17097167566,0.0062765676705,-0.0147590637207,0.0364240293503,0.00167476362198
0.05,"(-1, 0.1]",972,-0.0224261637087,0.17908959287,0.00574725853908,-0.00961971282959,0.0863843736649,0.00347265784212
0.15,"(0.1, 0.2]",1583,0.001633443489,0.171684522321,0.00431646183044,0.00114059448242,0.0714410734177,0.0022504400719
0.25,"(0.2, 0.3]",2829,0.00862438495861,0.145098943733,0.00272850370839,0.00985336303711,0.0336263122559,0.000792360297403
0.35,"(0.3, 0.4]",15604,0.0162079147851,0.0633736982602,0.000507346884101,0.0169639587402,0.0166174077988,0.000166726734995
0.45,"(0.4, 0.5]",30156,0.022031379135,0.0395900725527,0.000227985187504,0.022367477417,0.0153863840103,0.000111047718031
0.55,"(0.5, 0.6]",45656,0.0281475366091,0.026716934887,0.00012503812668,0.0278873443604,0.0140108456612,8.21817448515e-05
0.65,"(0.6, 0.7]",46962,0.0343632524025,0.0218306504913,0.000100739086527,0.0338926315308,0.014082572937,8.14457928986e-05
0.75,"(0.7, 0.8]",42941,0.0408142675316,0.022176818066,0.000107020805051,0.0405178070068,0.0141631336212,8.5661014599e-05
0.85,"(0.8, 0.9]",35835,0.0469714024085,0.0222227686752,0.000117395248883,0.0465507507324,0.014359588623,9.50710372984e-05
0.95,"(0.9, 1]",28299,0.0528170986897,0.0204829181246,0.000121762612579,0.0523700714111,0.0144634695053,0.000107757343958
1.05,"(1, 1.1]",22614,0.0583040287696,0.0231004377226,0.000153617650282,0.0577774047852,0.0143903288841,0.000119933902204
1.15,"(1.1, 1.2]",18552,0.0636892209746,0.0190275214925,0.000139700692349,0.0630512237549,0.0144479227066,0.000132944379174
1.25,"(1.2, 1.3]",15346,0.0685414693726,0.0189017323829,0.000152587221039,0.0682592391968,0.0140302791595,0.000141947796043
1.35,"(1.3, 1.4]",13122,0.0739889955978,0.0187977952016,0.000164105616875,0.0734930038452,0.0143832621574,0.000157368323454
1.45,"(1.4, 1.5]",11314,0.0792065437173,0.0187133436481,0.000175939154022,0.0785665512085,0.0144246025085,0.00016996351561
1.55,"(1.5, 1.6]",9797,0.0841092805394,0.0190254786462,0.000192225590374,0.0833396911621,0.0141772670746,0.000179517133656
1.65,"(1.6, 1.7]",8951,0.0888657440434,0.0334754636673,0.000353846646034,0.0887508392334,0.0145009231567,0.000192096658795
1.75,"(1.7, 1.8]",8416,0.0948961257028,0.018763771755,0.000204546984485,0.0940752029419,0.0148327059746,0.000202641066741
1.85,"(1.8, 1.9]",7858,0.100653021413,0.0191283870264,0.000215799271249,0.0996131896973,0.0144500427246,0.00020430220666
1.95,"(1.9, 2]",7460,0.107083838874,0.0184284764187,0.000213377748204,0.106171607971,0.0146507377625,0.000212593518462
2.05,"(2, 2.1]",7316,0.113843151883,0.0187433197473,0.000219148927084,0.113030433655,0.0149185667038,0.000218600016583
2.15,"(2.1, 2.2]",6994,0.121800818374,0.0179937400238,0.000215173942535,0.121166229248,0.0156980266571,0.000235256800746
2.25,"(2.2, 2.3]",6498,0.130919269798,0.0208874233912,0.00025913640927,0.130003929138,0.0169357638359,0.000263314559903
2.35,"(2.3, 2.4]",5839,0.141458097152,0.0205462643247,0.000268906206211,0.140813827515,0.0180879936218,0.000296675099769
