bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.65,"(-0.7, -0.6]",8,-0.0723781585693,0.0102546553861,0.0038758954189,-0.0729513168335,0.00608409833908,0.0026959458826
-0.55,"(-0.6, -0.5]",8,-0.0401842594147,0.0276578939412,0.010453701308,-0.0409917831421,0.0166311879158,0.00736950326662
-0.45,"(-0.5, -0.4]",23,-0.0286837038787,0.0206654722048,0.00440589347788,-0.0268363952637,0.0214192485809,0.00559757925746
-0.35,"(-0.4, -0.3]",82,-0.0158431122943,0.0330441216147,0.0036715690683,-0.0186176300049,0.0158499612808,0.00219372011749
-0.25,"(-0.3, -0.2]",59,-0.0147134813212,0.0817876852463,0.0107392492015,-0.0217552185059,0.0221930551529,0.00362118760487
-0.15,"(-0.2, -0.1]",80,-0.027731359005,0.0860558285223,0.00968203714746,-0.015043258667,0.0237781219482,0.00333190411656
-0.05,"(-0.1, -1]",92,-0.0184227694636,0.12453985526,0.0130553241837,-0.0275297164917,0.0411739296913,0.00538007516737
0.05,"(-1, 0.1]",96,-0.0374184548855,0.110819534503,0.0113698443388,-0.0291233062744,0.0355806155205,0.00455132426841
0.15,"(0.1, 0.2]",164,-0.043852055945,0.101072864698,0.00791663774848,-0.0313959121704,0.0322369937897,0.00315495050252
0.25,"(0.2, 0.3]",357,-0.0298412600819,0.0659725397882,0.00349653761571,-0.0282230377197,0.0248522644043,0.00164851079693
0.35,"(0.3, 0.4]",2429,-0.0245174374194,0.0330247035966,0.000670215684765,-0.0247192382812,0.0186731185913,0.000474857209989
0.45,"(0.4, 0.5]",6755,-0.0228936942924,0.0220395897426,0.000268177895211,-0.0231895446777,0.0181197938919,0.000276312489162
0.55,"(0.5, 0.6]",16009,-0.0214853089563,0.0195245642207,0.000154316658806,-0.0219058990479,0.017111371994,0.000169497254907
0.65,"(0.6, 0.7]",16639,-0.0189835078241,0.0189749996999,0.000147106281513,-0.0193557739258,0.016966504097,0.00016484990225
0.75,"(0.7, 0.8]",14279,-0.0161945132099,0.0197607340532,0.000165374820004,-0.0164623260498,0.0169710974693,0.000178000396392
0.85,"(0.8, 0.9]",11731,-0.0129839172246,0.0193575931023,0.000178732014629,-0.0133419036865,0.017102891922,0.000197907372253
0.95,"(0.9, 1]",9446,-0.0103377631577,0.0194261270939,0.000199887319732,-0.0106964111328,0.0170744483471,0.000220182424207
1.05,"(1, 1.1]",7714,-0.00758035769573,0.0203243000782,0.000231421621776,-0.00831604003906,0.0170594315529,0.000243435929157
1.15,"(1.1, 1.2]",6549,-0.00565362963208,0.019105041756,0.000236098732654,-0.00619125366211,0.0172838001251,0.000267677383608
1.25,"(1.2, 1.3]",5772,-0.00398706976771,0.0205787916878,0.000270890848687,-0.00398540496826,0.0171184387207,0.000282397553409
1.35,"(1.3, 1.4]",5469,-0.00114788540889,0.020476523763,0.000276912127797,-0.00148582458496,0.0173721342087,0.000294414471092
1.45,"(1.4, 1.5]",5033,0.000781331932997,0.0196127046624,0.000276482197329,0.000128746032715,0.0172611865997,0.000304941913237
1.55,"(1.5, 1.6]",4905,0.00223932334286,0.0195173597803,0.000278705691214,0.00185394287109,0.0174011077881,0.000311399083365
1.65,"(1.6, 1.7]",4937,0.00461706710485,0.0189012290676,0.000269031089204,0.0040340423584,0.0171396389008,0.000305724358815
1.75,"(1.7, 1.8]",4952,0.0060203793746,0.0188700560193,0.000268180209858,0.00559711456299,0.0173180737495,0.000308438942375
1.85,"(1.8, 1.9]",4975,0.00943030908479,0.0185302198824,0.000262740899433,0.00907897949219,0.0168580298424,0.000299550614107
