bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.35,"(-0.4, -0.3]",3,-0.153064727783,0.0274959951639,0.0194426046359,-0.142850875854,0.0192914571762,0.013959322615
-0.25,"(-0.3, -0.2]",30,-0.171888127923,0.0177834779024,0.00330230894305,-0.177757263184,0.0195767762661,0.00447961292102
-0.15,"(-0.2, -0.1]",27,-0.169236674905,0.0206650942564,0.00405275841783,-0.166400909424,0.019200296402,0.00463111952145
-0.05,"(-0.1, -1]",21,-0.173749879003,0.0164191871881,0.0036714418688,-0.174993515015,0.0108700389862,0.00297290747419
0.05,"(-1, 0.1]",842,-0.174508631229,0.0173677392304,0.000598887559669,-0.174585819244,0.0149065532684,0.000643844706107
0.15,"(0.1, 0.2]",1949,-0.176668465137,0.0170071907341,0.000385334687899,-0.174560546875,0.0132359790802,0.000375759605336
0.25,"(0.2, 0.3]",1251,-0.183943033218,0.0188492070884,0.000533136086087,-0.182415008545,0.014063492775,0.000498338542957
0.35,"(0.3, 0.4]",1256,-0.189051359892,0.0136854844168,0.000386312100279,-0.187498092651,0.0111410479546,0.000393995410011
0.45,"(0.4, 0.5]",624,-0.198896244168,0.0165381524712,0.000662587087659,-0.197850227356,0.013689309597,0.000686829893798
0.55,"(0.5, 0.6]",238,-0.216939225793,0.0182282440364,0.0011840516878,-0.216021537781,0.0138737511635,0.00112710755485
0.65,"(0.6, 0.7]",131,-0.227147966623,0.0179485026747,0.00157418782054,-0.226917266846,0.0144627628326,0.00158370962144
0.75,"(0.7, 0.8]",140,-0.237052872777,0.0176720898598,0.00149892709834,-0.234289169312,0.0137069764137,0.00145190294494
0.85,"(0.8, 0.9]",115,-0.24469050765,0.0380222834647,0.00356111312169,-0.246250152588,0.016714928627,0.00195350957768
0.95,"(0.9, 1]",104,-0.260199964046,0.0209662802517,0.00206586897862,-0.255619049072,0.0166523880959,0.00204653790449
1.05,"(1, 1.1]",104,-0.270865619183,0.0243186820298,0.00239619094104,-0.270406723022,0.016972864151,0.00208592363046
1.15,"(1.1, 1.2]",84,-0.287003159523,0.0310411974788,0.00340721407045,-0.284195899963,0.0257430253029,0.0035203016488
1.25,"(1.2, 1.3]",64,-0.303078174591,0.0355735048652,0.00448184033982,-0.301133155823,0.0263383970261,0.00412628566837
1.35,"(1.3, 1.4]",53,-0.313712567091,0.0426406264305,0.00591319096204,-0.309036254883,0.0353491802216,0.00608557123285
1.45,"(1.4, 1.5]",20,-0.329791724682,0.0360717102885,0.00827541788781,-0.320820808411,0.0418173551559,0.0117192954171
1.55,"(1.5, 1.6]",10,-0.359761059284,0.0687364935875,0.0229121645292,-0.354413986206,0.0680751914978,0.0269804264753
1.65,"(1.6, 1.7]",4,-0.415081977844,0.0588336475194,0.0339676222327,-0.417602539062,0.0639489297867,0.0400740488839
1.75,"(1.7, 1.8]",4,-0.389009475708,0.0250433161855,0.0144587653411,-0.385101318359,0.0127448415756,0.00798664506229
