bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.75,"(-0.8, -0.7]",100,-0.0124940776825,0.0414612038758,0.00416700777614,-0.0161218643188,0.0120699691772,0.00151274630068
-0.65,"(-0.7, -0.6]",164,-0.00490742194943,0.0168308330259,0.00131829258495,-0.0034065246582,0.014457816124,0.00141494875556
-0.55,"(-0.6, -0.5]",227,0.0132503383485,0.0904697618156,0.0060179590383,0.00184631347656,0.0157227602005,0.00130790379717
-0.45,"(-0.5, -0.4]",277,0.0256958799672,0.115577150535,0.00695692693222,0.00491333007812,0.0151708488464,0.00114243088445
-0.35,"(-0.4, -0.3]",431,0.0146522876005,0.0650257069713,0.00313581804435,0.00324058532715,0.0154824914932,0.000934678286023
-0.25,"(-0.3, -0.2]",625,0.0195091186523,0.0695157459126,0.00278285701334,0.00461578369141,0.0172611865997,0.000865347567691
-0.15,"(-0.2, -0.1]",770,0.0410333682964,0.0902267960409,0.00325366148129,0.0104112625122,0.0213084776402,0.000962425229018
-0.05,"(-0.1, -1]",1022,0.0431348050411,0.102438834098,0.00320591317204,0.0150728225708,0.0277510356903,0.00108796189945
0.05,"(-1, 0.1]",1240,0.0371137542109,0.103867329775,0.00295082404527,0.0202836990356,0.0381013169289,0.00135609177776
0.15,"(0.1, 0.2]",1926,0.0302654634755,0.100101200483,0.00228151810226,0.0209350585938,0.0349484968185,0.000998068382715
0.25,"(0.2, 0.3]",5238,0.0267682317651,0.069241115793,0.000956803534125,0.0269165039062,0.0229516682625,0.00039745818919
0.35,"(0.3, 0.4]",30786,0.0253647307566,0.0349674962154,0.000199294336678,0.0258369445801,0.0151634287834,0.000108313034172
0.45,"(0.4, 0.5]",50562,0.0271256499537,0.026783383565,0.000119112575011,0.0272970199585,0.0130815711021,7.29134625028e-05
0.55,"(0.5, 0.6]",66816,0.0307875732923,0.0218105175084,8.43779527672e-05,0.030481338501,0.0113887367249,5.52198541991e-05
0.65,"(0.6, 0.7]",63357,0.0357691082371,0.0204946000216,8.14227135443e-05,0.0354232788086,0.0118947143555,5.92265797162e-05
0.75,"(0.7, 0.8]",53018,0.040528010196,0.0207199177608,8.99871407333e-05,0.0402011871338,0.0122805576324,6.68446041404e-05
0.85,"(0.8, 0.9]",41554,0.0452199364819,0.019449552156,9.54131894856e-05,0.0446405410767,0.0125812468529,7.73530076018e-05
0.95,"(0.9, 1]",32822,0.0495414927399,0.0188422493579,0.000104005628407,0.0490379333496,0.0131013579369,9.06345389617e-05
1.05,"(1, 1.1]",27194,0.0538972532818,0.0200098965738,0.00012134343436,0.0533647537231,0.013541261673,0.000102915910932
1.15,"(1.1, 1.2]",23449,0.0578000940104,0.0210510778301,0.000137474273796,0.0572872161865,0.0141065998077,0.000115456960765
1.25,"(1.2, 1.3]",21274,0.0613825051108,0.0203639137854,0.000139619757593,0.0608539581299,0.0145051631927,0.000124640154978
1.35,"(1.3, 1.4]",19958,0.0649044333318,0.0204879291729,0.000145027524984,0.0642871856689,0.0151167883873,0.000134109938393
1.45,"(1.4, 1.5]",18814,0.0680969162652,0.0218990952754,0.000159660375122,0.0676136016846,0.0156902532578,0.00014336704117
1.55,"(1.5, 1.6]",18543,0.0709117390941,0.0209789091118,0.000154065221646,0.070291519165,0.0158803482056,0.000146160479884
1.65,"(1.6, 1.7]",18640,0.0735219261677,0.0217926909365,0.000159624502082,0.0728139877319,0.0164234261513,0.000150765074451
1.75,"(1.7, 1.8]",18961,0.0751710086676,0.0218675283133,0.00015881098193,0.0745544433594,0.0168131561279,0.00015303070016
1.85,"(1.8, 1.9]",19247,0.0769435064808,0.0227933104458,0.000164299849237,0.0763912200928,0.0174767217636,0.000157884096982
1.95,"(1.9, 2]",19784,0.0781692893602,0.0232837138399,0.000165541229943,0.0776500701904,0.0179480724335,0.000159926598544
2.05,"(2, 2.1]",20154,0.0784823863507,0.0242244573368,0.000170641321023,0.077995300293,0.0183911561966,0.000162363477434
2.15,"(2.1, 2.2]",19418,0.0789571375665,0.023751633476,0.000170452124068,0.078387260437,0.0194734253883,0.000175145926502
2.25,"(2.2, 2.3]",18671,0.0787814157022,0.0273961347237,0.000200501272965,0.0784549713135,0.0203458127975,0.000186616995577
2.35,"(2.3, 2.4]",17131,0.0785360507209,0.0265688760452,0.000202999281688,0.0780868530273,0.0210008983612,0.00020109739927
2.45,"(2.4, 2.5]",13947,0.0776136936727,0.0263380034127,0.000223027296088,0.0773830413818,0.0219407730103,0.000232847437305
2.55,"(2.5, 2.6]",9904,0.0766477931489,0.0272458832385,0.000273789949465,0.0768117904663,0.0230417690277,0.000290181981261
2.65,"(2.6, 2.7]",5816,0.0754231304709,0.0300154169308,0.000393613079026,0.0753469467163,0.0247999706268,0.00040756689992
2.75,"(2.7, 2.8]",2863,0.0748252395646,0.031221606083,0.000583606909912,0.0755596160889,0.025780125618,0.000603857262274
2.85,"(2.8, 2.9]",1315,0.0723465487984,0.040836532723,0.00112655183172,0.0741806030273,0.0279870643616,0.000967284901021
2.95,"(2.9, 3]",634,0.0747073351021,0.0416705711634,0.00165625650964,0.0775365829468,0.0271627306938,0.0013520375002
3.05,"(3, 3.1]",252,0.0734797583686,0.0388775466435,0.00245392898475,0.0744867324829,0.0291626143456,0.00230242834285
3.15,"(3.1, 3.2]",120,0.0697670141856,0.0582922136569,0.00534363846478,0.072096824646,0.0271171503067,0.003102511242
3.25,"(3.2, 3.3]",56,0.0796583380018,0.0369697804335,0.00498500417671,0.0849990844727,0.035663649559,0.00597298891376
