bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.85,"(-0.9, -0.8]",29,0.0333968524275,0.0150206842189,0.00283864249752,0.0333194732666,0.0139087314606,0.00323704294965
-0.75,"(-0.8, -0.7]",65,0.0290210430439,0.0217385094851,0.00271731368564,0.0308647155762,0.0194024047852,0.00301619087039
-0.65,"(-0.7, -0.6]",65,0.0214044130765,0.0196863525524,0.00246079406904,0.0216331481934,0.0163637123108,0.00254381249252
-0.55,"(-0.6, -0.5]",117,0.016730349288,0.0186121799477,0.0017280975248,0.0176620483398,0.0165587539673,0.00191864515372
-0.45,"(-0.5, -0.4]",133,0.0133206432027,0.0224872743547,0.00195726600425,0.0129623413086,0.020014383316,0.00217508548978
-0.35,"(-0.4, -0.3]",212,0.011685177965,0.0278648833306,0.00191829767917,0.0123443603516,0.0196264200211,0.00168940236146
-0.25,"(-0.3, -0.2]",269,0.0187239381017,0.0998729543077,0.006100711667,0.00651550292969,0.0192624835968,0.0014719602442
-0.15,"(-0.2, -0.1]",348,0.0320430404838,0.148806375848,0.00798834480462,0.00709247589111,0.0197119274139,0.00132433972936
-0.05,"(-0.1, -1]",515,0.04049877426,0.169080089846,0.00745780305618,0.00823783874512,0.0370070343018,0.00204381040901
0.05,"(-1, 0.1]",624,0.0352542736591,0.173847192943,0.00696504071242,0.00501823425293,0.0875048031807,0.00439035396559
0.15,"(0.1, 0.2]",931,0.0241797126582,0.180375261103,0.00591473781839,0.000146865844727,0.0950877542496,0.00390579718903
0.25,"(0.2, 0.3]",1438,0.0207331794028,0.178450980025,0.00470750243476,-0.00336837768555,0.0701256022453,0.00231769935302
0.35,"(0.3, 0.4]",5856,-0.0124104563656,0.0863369274273,0.00112832221579,-0.0107955932617,0.019330324173,0.000316590983328
0.45,"(0.4, 0.5]",15548,-0.0198386331926,0.0460420291341,0.000369259056803,-0.0183019638062,0.0172572999001,0.000173458473031
0.55,"(0.5, 0.6]",25997,-0.0257613124144,0.0286141300164,0.000177470953241,-0.0252742767334,0.0152669563293,0.000118672689436
0.65,"(0.6, 0.7]",32683,-0.0321880864407,0.0212202614226,0.000117380624849,-0.0317554473877,0.0147963123322,0.00010257758536
0.75,"(0.7, 0.8]",29374,-0.0382352620414,0.0221332472955,0.000129143033577,-0.0377178192139,0.0147708721161,0.00010801511475
0.85,"(0.8, 0.9]",24023,-0.0438852578939,0.02001519746,0.000129138369195,-0.0434589385986,0.0149404735565,0.000120812168878
0.95,"(0.9, 1]",18966,-0.0502921214753,0.0305044033093,0.000221506314263,-0.0494022369385,0.015278263092,0.000139042013964
1.05,"(1, 1.1]",14443,-0.0557946355226,0.0200384767156,0.000166744314225,-0.0552215576172,0.015517118454,0.000161823767632
1.15,"(1.1, 1.2]",11561,-0.0617464728942,0.0203721120355,0.000189477278765,-0.0611839294434,0.0158351211548,0.000184579569373
1.25,"(1.2, 1.3]",9330,-0.0675749160341,0.0210767072026,0.000218215309179,-0.0667333602905,0.016322725296,0.000211793090839
1.35,"(1.3, 1.4]",7780,-0.0732437540755,0.0316296797929,0.000358618681556,-0.0731353759766,0.0164573464394,0.000233846003174
1.45,"(1.4, 1.5]",6908,-0.0793383680608,0.0299678357461,0.000360587486812,-0.0793256759644,0.016310005188,0.000245944929417
1.55,"(1.5, 1.6]",5895,-0.0859303808495,0.0254075953808,0.000330947038287,-0.0851821899414,0.0164562864304,0.000268627129724
1.65,"(1.6, 1.7]",5329,-0.0922531823008,0.0220003960623,0.000301403569413,-0.0918464660645,0.0168795833588,0.000289800280213
1.75,"(1.7, 1.8]",4765,-0.0989463946251,0.0205711651576,0.00029803894305,-0.0978393554688,0.0170463581085,0.000309499601271
1.85,"(1.8, 1.9]",4394,-0.105192257808,0.0215340651692,0.000324896790669,-0.104248046875,0.0171686124802,0.000324612403531
1.95,"(1.9, 2]",4217,-0.111783546663,0.022870089742,0.000352222883122,-0.111251831055,0.0177911911011,0.000343370643691
2.05,"(2, 2.1]",3985,-0.118185538719,0.0227584031357,0.000360563799258,-0.11709022522,0.0186066913605,0.000369415343287
2.15,"(2.1, 2.2]",3871,-0.123845840233,0.0217457420494,0.000349557600536,-0.123390197754,0.0191635494232,0.000386032886282
2.25,"(2.2, 2.3]",3638,-0.130228694813,0.0230128220526,0.000381591092818,-0.129751205444,0.0191476492882,0.000397872621511
2.35,"(2.3, 2.4]",3015,-0.136681160365,0.022608579985,0.000411814526246,-0.135694503784,0.019588259697,0.000447107683712
2.45,"(2.4, 2.5]",2555,-0.142029259489,0.0235783363904,0.0004665548549,-0.141988754272,0.0208093900681,0.00051596927066
2.55,"(2.5, 2.6]",2023,-0.1476970056,0.0257200438976,0.000571980377263,-0.147655487061,0.021851732254,0.000608902654924
2.65,"(2.6, 2.7]",1450,-0.153482737048,0.0255660212231,0.000671628245735,-0.153883934021,0.0246837229729,0.000812431214361
2.75,"(2.7, 2.8]",895,-0.159061065333,0.0260860630032,0.000872448458126,-0.159042358398,0.0207012691498,0.000867252165192
2.85,"(2.8, 2.9]",414,-0.169435478063,0.0340221880668,0.00167412242983,-0.168029785156,0.0228092737198,0.00140498350302
2.95,"(2.9, 3]",219,-0.171584203363,0.0297538534025,0.00201518523325,-0.170539855957,0.025927113533,0.00219579630801
3.05,"(3, 3.1]",64,-0.179730325937,0.0312768939577,0.00394051824736,-0.177567481995,0.0386136546135,0.00604937990256
3.15,"(3.1, 3.2]",26,-0.192462554345,0.0282371595258,0.00564743190517,-0.19414806366,0.0207588629723,0.0051024273134
