bin_label,bin_interval,bin_num,bin_mean,bin_stddev,bin_stderr,bin_median,bin_rstddev,bin_unc
-0.15,"(-0.2, -0.1]",11,-0.1602460742,0.00924283452332,0.00292284091297,-0.16174697876,0.00512691020966,0.00193740005357
-0.05,"(-0.1, 0]",15,-0.132960185409,0.029147433117,0.00778997917342,-0.130893707275,0.0291495409012,0.00943291732547
0.05,"(0, 0.1]",27,-0.0799875631928,0.0214033741504,0.00419754701729,-0.0797309875488,0.0203860931396,0.00491713419046
0.15,"(0.1, 0.2]",13,-0.00946565810591,0.0258435104042,0.00746037884434,0.00210952758789,0.0291884078979,0.0101460890359
0.25,"(0.2, 0.3]",11,0.0361499786377,0.0198987349868,0.00629253251143,0.039493560791,0.0160587830544,0.00606842832769
0.35,"(0.3, 0.4]",21,0.106284365058,0.0232837498188,0.00520640473659,0.100728988647,0.0245003414154,0.00670073476337
0.45,"(0.4, 0.5]",725,0.163469567895,0.0144122028723,0.000535625301477,0.163970947266,0.0122918643951,0.000572148410388
0.55,"(0.5, 0.6]",527,0.204001486301,0.019712086767,0.000859487826871,0.203905105591,0.0190264549255,0.00103875351764
0.65,"(0.6, 0.7]",808,0.25133061409,0.0195804331452,0.000689263891021,0.252059936523,0.0200062565804,0.000882104611412
0.75,"(0.7, 0.8]",705,0.295279353857,0.0195006877184,0.00073495982177,0.294486999512,0.0203224925995,0.000959273294306
0.85,"(0.8, 0.9]",554,0.349276721478,0.0226308871061,0.000962363210925,0.349761962891,0.0229258747101,0.00122076191216
0.95,"(0.9, 2]",519,0.402856439352,0.0267910566181,0.0011771314478,0.402782440186,0.0232919311523,0.00128139125955
1.05,"(2, 1.1]",522,0.455990463495,0.0245360154659,0.00107494235434,0.453707695007,0.025638437748,0.00140642392403
1.15,"(1.1, 1.2]",507,0.502979040146,0.0291013922542,0.00129371468647,0.501214981079,0.0277255954742,0.0015432519745
1.25,"(1.2, 1.3]",441,0.552465379238,0.0339271575212,0.0016174137728,0.551651000977,0.0388019828796,0.00231576541423
1.35,"(1.3, 1.4]",479,0.609788894653,0.0353780649602,0.0016181550269,0.610643386841,0.0409728813171,0.00234632780668
1.45,"(1.4, 1.5]",543,0.652997851372,0.035029925406,0.00150466413481,0.655790328979,0.0356021690369,0.0019148575945
1.55,"(1.5, 1.6]",429,0.682712614536,0.0303785130382,0.00146840085185,0.684278488159,0.032511182785,0.00196727042133
1.65,"(1.6, 1.7]",164,0.706483542919,0.0334439054132,0.00261952884033,0.70650100708,0.0272687315941,0.00266871963953
1.75,"(1.7, 1.8]",41,0.746951520443,0.0438621938229,0.0069352217826,0.747116088867,0.0352375259399,0.00689720951631
1.85,"(1.8, 1.9]",8,0.756696939468,0.042660664767,0.0161242156769,0.759315490723,0.0455379867554,0.0201784949968
1.95,"(1.9, 2]",1,0.781660079956,,,0.781660079956,0.0,0.0
2.05,"(2, 2.1]",2,0.924608230591,0.121498912573,0.121498912573,0.924608230591,0.0636613140106,0.0564183705859
2.15,"(2.1, 2.2]",1,1.01131439209,,,1.01131439209,0.0,0.0
2.25,,0,,,,,-9999.0,-inf
